dataset_id,maturity,episode_id,time_s,heat_generation_w,coolant_temp_c,coolant_ua_w_k,external_heat_w,core_temp_c,surface_temp_c,core_temp_std_c,surface_temp_std_c
synthetic-battery-thermal-v1,synthetic,0,0.0,1700.0,16.0,235.0,900.0,20.004570756196316,18.984400238406394,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,5.0,4154.614562220469,16.455257448943446,255.65947808293572,900.0,20.032544646724975,19.034871182610274,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,10.0,4444.559937206778,16.90584334039897,275.95028729004935,900.0,20.050499012139557,19.024079984842196,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,15.0,4616.9603162914555,17.34713405338011,295.5103376503417,900.0,20.144392678407208,19.06496000198061,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,20.0,4640.37595169749,17.774601348009934,313.9905796017472,900.0,20.207382035966845,19.086883848556674,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,25.0,4510.5366575058415,18.183858831389866,331.06123278883797,900.0,20.286181528417032,19.145701663269588,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,30.0,4251.120540937643,18.570706967926565,346.41767100107904,900.0,20.33723169659102,19.189986857053594,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,35.0,3909.435950834694,18.931176172249998,359.78585823477226,900.0,20.402465807424562,19.204021946555912,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,40.0,3547.7941036175334,19.26156754253104,370.9272388720341,900.0,20.45495058223181,19.25103938138294,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,45.0,3232.145715418497,19.558490816219642,379.6429947114484,900.0,20.511058424643142,19.31754869245661,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,50.0,3020.0539178495155,19.818899158726378,385.7775928835808,900.0,20.538808256021305,19.364827916995083,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,55.0,2950.1967733170927,20.040120428068338,389.2215613387182,900.0,20.60046362693508,19.43269676975052,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,60.0,3035.3137607955928,20.219884594661863,389.9134423781895,900.0,20.61527330298964,19.492186856015664,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,65.0,3259.882544243349,20.35634703489792,387.84088936845444,900.0,20.670647495973355,19.56707455700638,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,70.0,3582.949699151241,20.448107459476503,383.0408870670714,900.0,20.71332455805202,19.633015117479154,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,75.0,3945.599172554256,20.494224282269737,375.5990916288228,900.0,20.788715530967654,19.685433710692866,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,80.0,4281.69649284745,20.494224282269737,365.6483020696035,900.0,20.803928482270866,19.7435472529487,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,85.0,4529.949364534432,20.448107459476503,353.3660904648365,900.0,20.881006637279565,19.835463794972227,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,90.0,4645.085220859859,20.35634703489792,338.97163317157964,900.0,20.933985676994343,19.86665469123989,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,95.0,4606.107343010346,20.219884594661863,322.7217996212422,900.0,20.98898579266884,19.94720953788847,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,100.0,2320.123920973514,20.040120428068338,304.9065684784958,900.0,21.077536007493237,20.000894518985046,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,105.0,2021.0517704233707,19.818899158726378,285.8438529651331,900.0,21.086759096648187,20.048397769041014,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,110.0,1663.431101946149,19.558490816219642,265.87382769109456,900.0,21.124412680674475,20.096741586927195,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,115.0,1312.4793105178094,19.26156754253104,245.35285823049378,900.0,21.1563371095544,20.1417889071375,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,120.0,1032.1976231830938,18.93117617225,224.64714176950625,0.0,21.16884414273798,20.181028453469267,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,125.0,873.6995328652981,18.57070696792657,204.1261723089055,0.0,21.174262338605327,20.189829533706977,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,130.0,865.889500269132,18.183858831389866,184.15614703486685,0.0,21.15688302484775,20.174012151370263,0.015,0.015
synthetic-battery-thermal-v1,synthetic,0,135.0,1010.1917998437426,17.774601348009934,165.09343152150427,0.0,21.180334912076994,20.166156181906263,0.015,0.015
